説明,値
メインビジュアルの背景画像,./images/injection-MV.webp
メインビジュアルの左側テキスト,【効果】×【お得な金額】で選ぶ
メインビジュアルの右側テキスト,
メインビジュアルの大きなSVGテキスト,マウスピース矯正
メインビジュアルの小さなSVGテキスト,ランキングTOP{{RANK_COUNT}}
ランキングセクションのバナー画像,/images/ranking_header_banner.webp
ランキングセクション上部の地域名に続くテキスト,で人気のマウスピース矯正はココ！
Tipsセクションの1つ目のタブ,期間と効果
Tips1の説明文,マウスピース矯正で<deco>目立たない歯列矯正が実現！</deco>透明なマウスピースを使用し、<deco>段階的に歯を理想の位置に移動</deco>させる最新技術。装着時の違和感は数日で慣れ、日常生活への影響もほとんどありません。治療期間は約1〜3年で、定期的なマウスピース交換により確実に歯並びが改善されます。
Tips1セクションの画像,./images/Tips1.webp
Tipsセクションの2つ目のタブ,向き・不向き
Tips2の説明文,クールスカルプティング（脂肪冷却）は安全性の面でも信頼性が高く、<deco>副作用のリスクが極めて低い</deco>のが特徴。施術中は冷たさを感じますが、痛みはほとんどありません。
Tips2セクションの画像,./images/Tips2.webp
Tipsセクションの3つ目のタブ,選び方
Tips3の説明文,夏本番になると予約が取りにくくなり、料金も高くなりがち。今なら<deco>夏直前キャンペーン</deco>でお得に始められて、予約もスムーズ！理想の体型で夏を迎えるなら今がラストチャンスです。
Tips3セクションの画像,./images/Tips3.webp
比較表セクションの見出し,で人気のマウスピース矯正
比較表のサブタイトル,クリニックを<span class="accent-text">徹底比較</span>
詳細セクションのバナー画像,/images/details_header_bannar3.webp
詳細セクションの注意事項HTML,<div class="main-disclaimer"><span id="main-arrow" style="font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);">▼</span><div id="main-content" class="main-disclaimer-content" style="display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);"><p>「矯正開始後の通院は原則不要※1」※1 初回診断のご来院と、矯正開始前・矯正終了後の処置のご来院をお願いしています。<br>「歯並びの適応について」※記載のない歯並びでもお気軽にご相談ください。※記載の歯並びであっても、Oh my teethのマウスピース矯正の適応外と診断される場合もございます。※症状が強い場合は適応にならない場合があります。<br>「治療期間について」※治療期間は歯並びの状態や年齢などによって個人差があります。<br>「痛みについて」※痛みの感じ方には個人差があります。<br>「実績について」※2021年6月〜2023年10月の契約者（一部モニター除く）</p></div></div>
