項目名,説明,値
MV画像パス,メインビジュアルの背景画像,./images/mv.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,【コスパ】×【続けやすさ】で選ぶ
MVアピールテキスト2,メインビジュアルの右側テキスト,
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,矯正歯科
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,矯正歯科
ランキングバナー画像パス,ランキングセクションのバナー画像,./images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気の矯正歯科はココ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,治療法と費用目安
Tips1内容,Tips1の説明文,矯正歯科では<deco>ワイヤー矯正・マウスピース矯正・裏側矯正</deco>など治療法によって通院頻度や費用が異なります。全体矯正の相場は<deco>70万〜120万円</deco>、部分矯正は<deco>20万〜50万円</deco>が目安。精密検査（約3万〜5万円）後に治療計画を立て、治療期間は症例により<deco>1〜3年</deco>、保定期間はさらに1〜2年続きます。見た目や痛み、ライフスタイルへの影響も違うため、無料相談でメリット・デメリットを比較して選びましょう。
Tips1画像パス,Tips1セクションの画像,./images/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,おすすめできる人・注意点
Tips2内容,Tips2の説明文,<deco>おすすめできる人</deco><br>歯並びや咬み合わせを根本から整えたい方<br>将来の虫歯や歯周病リスクを減らしたい方<br>子どもの成長に合わせた矯正を検討する保護者<br><br><deco>注意が必要なケース</deco><br>顎関節症や歯周病の治療が優先される方<br>妊娠中など長期通院が難しい方<br>装置の見た目や発音制限を避けたい場合は治療法の選定が必要
Tips2画像パス,Tips2セクションの画像,./images/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,クリニック選びのポイント
Tips3内容,Tips3の説明文,<deco>矯正専門医か・症例数の公開</deco>、<deco>治療計画とシミュレーションの根拠</deco>、<deco>総額費用と追加料金の有無</deco>、<deco>通院頻度とオンライン相談体制</deco>、<deco>保定装置や保証の範囲</deco>を比較することが大切です。複数院でカウンセリングを受け、検査内容や支払いプランを取り寄せることで、自分に合う矯正歯科を見極められます。
Tips3画像パス,Tips3セクションの画像,./images/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気の矯正歯科
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class=""accent-text"">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,./images/details_header_bannar3.webp
注意事項HTML,詳細セクションの注意事項HTML,<div class="main-disclaimer"><span id="main-arrow" style="font-size: 8px; color: rgb(153, 153, 153); transition: transform 0.2s; transform: rotate(180deg);">▼</span><div id="main-content" class="main-disclaimer-content" style="display: block; padding: 5px; background-color: rgb(252, 252, 252); border-right: 1px solid rgb(240, 240, 240); border-bottom: 1px solid rgb(240, 240, 240); border-left: 1px solid rgb(240, 240, 240);"><p>「矯正開始後の通院は原則不要※1」※1 初回診断のご来院と、矯正開始前・矯正終了後の処置のご来院をお願いしています。<br>「歯並びの適応について」※記載のない歯並びでもお気軽にご相談ください。※記載の歯並びであっても、Oh my teethの矯正歯科の適応外と診断される場合もございます。※症状が強い場合は適応にならない場合があります。<br>「治療期間について」※治療期間は歯並びの状態や年齢などによって個人差があります。<br>「痛みについて」※痛みの感じ方には個人差があります。<br>「実績について」※2021年6月〜2023年10月の契約者（一部モニター除く）</p></div></div>
